n_iter,W,FRAC,est_2m_i,mse,ci95_low,ci95_high,pass
17,28,26,7.62939453125e-06,2.13556764006029e-11,2.10924150847512e-11,2.16189377164546e-11,1
18,28,26,3.814697265625e-06,5.31695199423865e-12,5.2513634662791e-12,5.3825405221982e-12,1
19,28,26,1.9073486328125e-06,1.33227231469135e-12,1.3158398813099e-12,1.34870474807281e-12,1
20,28,26,9.5367431640625e-07,3.36286891666759e-13,3.32167541502162e-13,3.40406241831357e-13,1
21,28,26,4.76837158203125e-07,8.49710080075283e-14,8.39279326099297e-14,8.60140834051269e-14,1
22,28,26,2.38418579101562e-07,2.25470131454131e-14,2.22696417112201e-14,2.28243845796061e-14,1
23,28,26,1.19209289550781e-07,7.07717884296244e-15,6.98983632160728e-15,7.16452136431759e-15,1
24,28,26,5.96046447753906e-08,3.23852500372368e-15,3.19859679516219e-15,3.27845321228517e-15,1
12,29,27,0.000244140625,2.15654636018647e-08,2.12985839880368e-08,2.18323432156927e-08,0
13,29,27,0.0001220703125,5.47462513932007e-09,5.40759520259446e-09,5.54165507604567e-09,0
14,29,27,6.103515625e-05,1.35575333582105e-09,1.33900237760388e-09,1.37250429403823e-09,0
15,29,27,3.0517578125e-05,3.40397937588222e-10,3.36193720695354e-10,3.44602154481089e-10,0
16,29,27,1.52587890625e-05,8.42102180165227e-11,8.31682754197961e-11,8.52521606132494e-11,0
17,29,27,7.62939453125e-06,2.13535465631853e-11,2.1090308399198e-11,2.16167847271727e-11,1
18,29,27,3.814697265625e-06,5.31659088087721e-12,5.25100916455626e-12,5.38217259719817e-12,1
19,29,27,1.9073486328125e-06,1.33152364023559e-12,1.31509705201562e-12,1.34795022845556e-12,1
20,29,27,9.5367431640625e-07,3.3544624411519e-13,3.31335298444462e-13,3.39557189785917e-13,1
21,29,27,4.76837158203125e-07,8.39906499905396e-14,8.29590190558096e-14,8.50222809252697e-14,1
22,29,27,2.38418579101562e-07,2.14313533586363e-14,2.11680720096589e-14,2.16946347076138e-14,1
23,29,27,1.19209289550781e-07,5.90038906622681e-15,5.82728704786501e-15,5.97349108458861e-15,1
24,29,27,5.96046447753906e-08,2.02298067186746e-15,1.99784562948011e-15,2.04811571425481e-15,1
12,30,28,0.000244140625,2.15654539443189e-08,2.12985742884026e-08,2.18323336002351e-08,0
13,30,28,0.0001220703125,5.47462261120846e-09,5.40759259491355e-09,5.54165262750336e-09,0
14,30,28,6.103515625e-05,1.35575578193464e-09,1.33900481386108e-09,1.37250675000821e-09,0
15,30,28,3.0517578125e-05,3.40397827519878e-10,3.3619359632231e-10,3.44602058717446e-10,0
16,30,28,1.52587890625e-05,8.42106000559228e-11,8.31686482431679e-11,8.52525518686778e-11,0
17,30,28,7.62939453125e-06,2.1353398449997e-11,2.10901622938337e-11,2.16166346061602e-11,1
18,30,28,3.814697265625e-06,5.31622848243263e-12,5.25064681278975e-12,5.3818101520755e-12,1
19,30,28,1.9073486328125e-06,1.33138830682444e-12,1.3149631105681e-12,1.34781350308078e-12,1
20,30,28,9.5367431640625e-07,3.35213812541202e-13,3.31105251289011e-13,3.39322373793393e-13,1
21,30,28,4.76837158203125e-07,8.36935090675617e-14,8.26647387495817e-14,8.47222793855417e-14,1
22,30,28,2.38418579101562e-07,2.11456166465673e-14,2.08857630524749e-14,2.14054702406597e-14,1
23,30,28,1.19209289550781e-07,5.58674106976298e-15,5.51766376088935e-15,5.65581837863661e-15,1
24,30,28,5.96046447753906e-08,1.70058744863866e-15,1.6796438816632e-15,1.72153101561411e-15,1
12,31,29,0.000244140625,2.1565455398317e-08,2.129857581615e-08,2.18323349804839e-08,0
13,31,29,0.0001220703125,5.47462148783144e-09,5.40759147966675e-09,5.54165149599613e-09,0
14,31,29,6.103515625e-05,1.35575615689332e-09,1.33900518845665e-09,1.37250712532999e-09,0
15,31,29,3.0517578125e-05,3.40398229160682e-10,3.36193993440968e-10,3.44602464880396e-10,0
16,31,29,1.52587890625e-05,8.42106742225679e-11,8.31687216079488e-11,8.5252626837187e-11,0
17,31,29,7.62939453125e-06,2.13532862145677e-11,2.10900495846966e-11,2.16165228444388e-11,1
18,31,29,3.814697265625e-06,5.31629130003097e-12,5.25070895532344e-12,5.38187364473851e-12,1
19,31,29,1.9073486328125e-06,1.33134508431554e-12,1.31492117979315e-12,1.34776898883793e-12,1
20,31,29,9.5367431640625e-07,3.35182898866804e-13,3.31074915432757e-13,3.39290882300851e-13,1
21,31,29,4.76837158203125e-07,8.36373816731628e-14,8.26090030954265e-14,8.46657602508991e-14,1
22,31,29,2.38418579101562e-07,2.10833195346538e-14,2.08242413422023e-14,2.13423977271053e-14,1
23,31,29,1.19209289550781e-07,5.51924700387119e-15,5.45093138343474e-15,5.58756262430764e-15,1
24,31,29,5.96046447753906e-08,1.63015947962641e-15,1.61006328393027e-15,1.65025567532256e-15,1
12,32,30,0.000244140625,2.1565457146831e-08,2.12985775163483e-08,2.18323367773137e-08,0
13,32,30,0.0001220703125,5.47462263793302e-09,5.40759260616316e-09,5.54165266970288e-09,0
14,32,30,6.103515625e-05,1.35575648811897e-09,1.33900551430839e-09,1.37250746192955e-09,0
15,32,30,3.0517578125e-05,3.40398183096419e-10,3.36193947548449e-10,3.44602418644388e-10,0
16,32,30,1.52587890625e-05,8.42107929949383e-11,8.31688386941992e-11,8.52527472956774e-11,0
17,32,30,7.62939453125e-06,2.13531839039077e-11,2.10899464524333e-11,2.16164213553821e-11,1
18,32,30,3.814697265625e-06,5.31629928735705e-12,5.25071656976809e-12,5.38188200494601e-12,1
19,32,30,1.9073486328125e-06,1.33134428793868e-12,1.31492029738604e-12,1.34776827849133e-12,1
20,32,30,9.5367431640625e-07,3.35177547973464e-13,3.31069347040289e-13,3.39285748906639e-13,1
21,32,30,4.76837158203125e-07,8.36372496433591e-14,8.26086860765657e-14,8.46658132101524e-14,1
22,32,30,2.38418579101562e-07,2.1074556145334e-14,2.08155351766451e-14,2.1333577114023e-14,1
23,32,30,1.19209289550781e-07,5.50264453794136e-15,5.43445220677487e-15,5.57083686910785e-15,1
24,32,30,5.96046447753906e-08,1.61527437259057e-15,1.59528798337208e-15,1.63526076180906e-15,1
12,33,31,0.000244140625,2.15654563974697e-08,2.12985767939538e-08,2.18323360009856e-08,0
13,33,31,0.0001220703125,5.47462257706852e-09,5.40759254573435e-09,5.54165260840269e-09,0
14,33,31,6.103515625e-05,1.35575643029159e-09,1.33900545581774e-09,1.37250740476544e-09,0
15,33,31,3.0517578125e-05,3.4039792002821e-10,3.36193686436003e-10,3.44602153620417e-10,0
16,33,31,1.52587890625e-05,8.42107175642219e-11,8.31687643990656e-11,8.52526707293783e-11,0
17,33,31,7.62939453125e-06,2.13531080799512e-11,2.10898717909647e-11,2.16163443689378e-11,1
18,33,31,3.814697265625e-06,5.31624793715692e-12,5.25066570281983e-12,5.38183017149401e-12,1
19,33,31,1.9073486328125e-06,1.33133994773427e-12,1.31491575911389e-12,1.34776413635466e-12,1
20,33,31,9.5367431640625e-07,3.35188858192718e-13,3.31080514298085e-13,3.39297202087352e-13,1
21,33,31,4.76837158203125e-07,8.36403477554037e-14,8.26118481868472e-14,8.46688473239603e-14,1
22,33,31,2.38418579101562e-07,2.1071117598144e-14,2.0812208915806e-14,2.1330026280482e-14,1
23,33,31,1.19209289550781e-07,5.49742259527142e-15,5.42929860389159e-15,5.56554658665125e-15,1
24,33,31,5.96046447753906e-08,1.61078006835624e-15,1.59086217708776e-15,1.63069795962473e-15,1
12,34,32,0.000244140625,2.15654557951049e-08,2.12985762068518e-08,2.18323353833581e-08,0
13,34,32,0.0001220703125,5.47462245681404e-09,5.4075924308447e-09,5.54165248278337e-09,0
14,34,32,6.103515625e-05,1.3557564228778e-09,1.33900545131592e-09,1.37250739443968e-09,0
15,34,32,3.0517578125e-05,3.40397762674217e-10,3.36193528730702e-10,3.44601996617731e-10,0
16,34,32,1.52587890625e-05,8.42106768644141e-11,8.31687229691372e-11,8.52526307596909e-11,0
17,34,32,7.62939453125e-06,2.13530956706069e-11,2.1089859197481e-11,2.16163321437327e-11,1
18,34,32,3.814697265625e-06,5.31624391646147e-12,5.25066140509429e-12,5.38182642782864e-12,1
19,34,32,1.9073486328125e-06,1.33136006099212e-12,1.31493559807571e-12,1.34778452390854e-12,1
20,34,32,9.5367431640625e-07,3.35197800206515e-13,3.31089353998188e-13,3.39306246414841e-13,1
21,34,32,4.76837158203125e-07,8.3644578742709e-14,8.26159778629899e-14,8.46731796224282e-14,1
22,34,32,2.38418579101562e-07,2.10726912590505e-14,2.08137448198121e-14,2.13316376982888e-14,1
23,34,32,1.19209289550781e-07,5.49541722240712e-15,5.42732991860565e-15,5.5635045262086e-15,1
24,34,32,5.96046447753906e-08,1.60938832247971e-15,1.58949976756684e-15,1.62927687739258e-15,1
12,35,33,0.000244140625,2.15654557626493e-08,2.12985761765199e-08,2.18323353487786e-08,0
13,35,33,0.0001220703125,5.47462242295014e-09,5.40759239753516e-09,5.54165244836511e-09,0
14,35,33,6.103515625e-05,1.35575637267501e-09,1.3390054000496e-09,1.37250734530042e-09,0
15,35,33,3.0517578125e-05,3.40397776991086e-10,3.36193542906436e-10,3.44602011075737e-10,0
16,35,33,1.52587890625e-05,8.42107168679172e-11,8.31687624997002e-11,8.52526712361342e-11,0
17,35,33,7.62939453125e-06,2.1353101435e-11,2.10898648916884e-11,2.16163379783116e-11,1
18,35,33,3.814697265625e-06,5.31624879030612e-12,5.2506661447668e-12,5.38183143584544e-12,1
19,35,33,1.9073486328125e-06,1.33136834177432e-12,1.31494378856394e-12,1.3477928949847e-12,1
20,35,33,9.5367431640625e-07,3.35200642614898e-13,3.3109214737811e-13,3.39309137851686e-13,1
21,35,33,4.76837158203125e-07,8.36454958937213e-14,8.2616868903936e-14,8.46741228835066e-14,1
22,35,33,2.38418579101562e-07,2.10726999020391e-14,2.08137459425708e-14,2.13316538615074e-14,1
23,35,33,1.19209289550781e-07,5.49532578106695e-15,5.42723315956404e-15,5.56341840256985e-15,1
24,35,33,5.96046447753906e-08,1.60937820118138e-15,1.58948538776302e-15,1.62927101459975e-15,1
12,36,34,0.000244140625,2.15654557944043e-08,2.12985762072873e-08,2.18323353815212e-08,0
13,36,34,0.0001220703125,5.47462243123978e-09,5.40759240520877e-09,5.54165245727078e-09,0
14,36,34,6.103515625e-05,1.35575635384234e-09,1.33900538236894e-09,1.37250732531573e-09,0
15,36,34,3.0517578125e-05,3.40397782865166e-10,3.36193548331785e-10,3.44602017398546e-10,0
16,36,34,1.52587890625e-05,8.42107195910906e-11,8.31687651118123e-11,8.52526740703689e-11,0
17,36,34,7.62939453125e-06,2.13531002175437e-11,2.10898636791441e-11,2.16163367559434e-11,1
18,36,34,3.814697265625e-06,5.31624933357997e-12,5.25066667441717e-12,5.38183199274278e-12,1
19,36,34,1.9073486328125e-06,1.33136927544661e-12,1.31494468729472e-12,1.3477938635985e-12,1
20,36,34,9.5367431640625e-07,3.35201664242884e-13,3.31093152500481e-13,3.39310175985287e-13,1
21,36,34,4.76837158203125e-07,8.36455024146553e-14,8.26168696388142e-14,8.46741351904963e-14,1
22,36,34,2.38418579101562e-07,2.10728682822279e-14,2.08139151877347e-14,2.13318213767211e-14,1
23,36,34,1.19209289550781e-07,5.49494766508495e-15,5.42686010227947e-15,5.56303522789044e-15,1
24,36,34,5.96046447753906e-08,1.60911200508573e-15,1.58922288338294e-15,1.62900112678851e-15,1
