"section","clock","iter1_slack_ns","iter3_slack_ns","delta_slack_ns","iter1_tns_ns","iter3_tns_ns","delta_tns_ns"
"Slow 1100mV 85C Model Setup Summary","sopc_clk","-0.313","0.563","0.8759999999999999","-3.835","0","3.835"
"Slow 1100mV 85C Model Setup Summary","altera_reserved_tck","23.3","23.033","-0.26699999999999946","0","0","0"
"Slow 1100mV 0C Model Setup Summary","sopc_clk","-0.513","0.442","0.9550000000000001","-8.934","0","8.934"
"Slow 1100mV 0C Model Setup Summary","altera_reserved_tck","23.44","23.416","-0.02400000000000091","0","0","0"
"Fast 1100mV 85C Model Setup Summary","sopc_clk","7.441","7.171","-0.2699999999999996","0","0","0"
"Fast 1100mV 85C Model Setup Summary","altera_reserved_tck","25.357","25.133","-0.2240000000000002","0","0","0"
"Fast 1100mV 0C Model Setup Summary","sopc_clk","7.604","7.369","-0.23500000000000032","0","0","0"
"Fast 1100mV 0C Model Setup Summary","altera_reserved_tck","25.535","25.445","-0.08999999999999986","0","0","0"
